CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K
771075258,Existing Customer,55,M,2,College,Single,$120K +
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K
711112683,Existing Customer,63,F,1,College,Married,Unknown
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K
795232683,Existing Customer,53,F,1,College,Married,Less than $40K
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K
714133158,Existing Customer,59,F,1,College,Single,Unknown
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K
812627208,Existing Customer,60,F,0,College,Single,Less than $40K
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K
820596183,Existing Customer,58,M,2,College,Married,$120K +
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K
713837058,Existing Customer,48,M,2,College,Single,Less than $40K
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown
712125258,Attrited Customer,46,M,4,High School,Married,$120K +
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K
710620383,Existing Customer,43,M,4,Unknown,Married,$60K - $80K
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K
807226683,Existing Customer,48,M,3,Unknown,Single,$40K - $60K
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K
720615708,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K
719117433,Existing Customer,41,M,4,High School,Unknown,$80K - $120K
716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K
718621608,Attrited Customer,54,F,2,High School,Married,Unknown
715085733,Existing Customer,61,M,0,Graduate,Married,$40K - $60K
788977833,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K
720272958,Attrited Customer,48,M,2,High School,Married,$120K +
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown
709879458,Existing Customer,54,F,3,Doctorate,Married,Unknown
715120608,Existing Customer,44,M,3,Graduate,Single,$60K - $80K
770632758,Existing Customer,50,F,4,Doctorate,Single,Unknown
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K
771742533,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K
712270158,Existing Customer,62,F,0,High School,Married,$40K - $60K
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K
754897008,Existing Customer,46,M,3,High School,Single,$40K - $60K
819700533,Existing Customer,50,M,0,High School,Single,$120K +
712890408,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K
717401883,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K
721509558,Existing Customer,51,M,2,Graduate,Married,$120K +
710572458,Existing Customer,36,F,3,High School,Married,Unknown
714576183,Existing Customer,47,M,4,Graduate,Single,$80K - $120K
721425558,Existing Customer,52,M,2,Graduate,Single,$120K +
711109908,Existing Customer,43,F,4,Uneducated,Married,Less than $40K
715203108,Existing Customer,63,M,2,High School,Married,$40K - $60K
710027508,Existing Customer,61,M,0,Graduate,Married,$60K - $80K
787464408,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K
783542133,Existing Customer,53,F,3,Graduate,Married,Less than $40K
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +
714426783,Existing Customer,38,F,2,Graduate,Single,Unknown
712701333,Existing Customer,53,M,3,High School,Married,$60K - $80K
709494483,Existing Customer,63,F,0,Unknown,Married,Less than $40K
773373108,Existing Customer,49,F,4,High School,Married,Less than $40K
715812258,Existing Customer,45,M,2,High School,Married,$80K - $120K
778286433,Existing Customer,67,M,0,Graduate,Married,$40K - $60K
789270033,Existing Customer,48,M,3,Graduate,Single,$80K - $120K
711569433,Existing Customer,51,F,2,Uneducated,Divorced,Less than $40K
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K
709346133,Existing Customer,55,F,2,Uneducated,Married,Unknown
788194458,Existing Customer,34,M,3,High School,Married,$60K - $80K
720779733,Existing Customer,56,M,1,Uneducated,Married,$120K +
717424458,Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K
708820308,Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K
710558058,Existing Customer,46,F,3,Unknown,Married,Less than $40K
770590758,Existing Customer,43,F,3,Graduate,Single,$40K - $60K
718490658,Existing Customer,50,F,1,Graduate,Single,Less than $40K
711985833,Existing Customer,38,F,4,Uneducated,Single,Less than $40K
708967608,Existing Customer,53,F,1,Graduate,Single,Less than $40K
718505958,Existing Customer,43,M,5,Graduate,Divorced,$120K +
715024233,Existing Customer,53,M,1,High School,Married,$120K +
779249583,Existing Customer,56,F,1,Graduate,Married,Less than $40K
709278258,Attrited Customer,54,M,2,Unknown,Married,$40K - $60K
778928283,Existing Customer,57,F,3,High School,Married,Less than $40K
712299858,Existing Customer,62,M,1,High School,Married,Less than $40K
799224108,Existing Customer,46,F,4,Graduate,Single,Less than $40K
809976033,Existing Customer,49,M,2,Uneducated,Married,$60K - $80K
716203308,Existing Customer,52,M,3,Graduate,Single,$80K - $120K
714871683,Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K
716139933,Existing Customer,54,M,0,High School,Married,$80K - $120K
716984658,Existing Customer,49,M,1,Graduate,Married,$120K +
713086008,Existing Customer,58,F,3,High School,Married,Less than $40K
713773458,Existing Customer,52,M,2,High School,Single,$60K - $80K
719242533,Existing Customer,41,M,5,High School,Married,$60K - $80K
772712658,Existing Customer,62,F,0,Uneducated,Married,Less than $40K
788868858,Existing Customer,54,M,2,Graduate,Married,Less than $40K
811898133,Existing Customer,40,F,3,High School,Divorced,Less than $40K
788808633,Existing Customer,43,M,3,Graduate,Married,$80K - $120K
779804208,Existing Customer,53,F,2,Graduate,Single,$40K - $60K
781391058,Existing Customer,55,M,1,Uneducated,Single,$40K - $60K
790134408,Existing Customer,46,M,4,Graduate,Single,$60K - $80K
788853258,Existing Customer,41,M,1,Uneducated,Married,$60K - $80K
711857733,Existing Customer,49,M,3,Uneducated,Single,$60K - $80K
822969858,Existing Customer,61,F,0,Graduate,Married,Unknown
719554758,Existing Customer,46,M,2,Uneducated,Married,$80K - $120K
711643458,Existing Customer,50,F,1,Uneducated,Married,Less than $40K
788830683,Existing Customer,40,M,2,Graduate,Single,$80K - $120K
807030858,Existing Customer,51,M,4,High School,Single,$120K +
793059108,Existing Customer,50,F,2,Graduate,Married,$40K - $60K
716568708,Existing Customer,47,F,2,Graduate,Married,Less than $40K
828281733,Existing Customer,43,M,4,Unknown,Married,$120K +
717229158,Existing Customer,36,F,4,Graduate,Married,$40K - $60K
715915458,Existing Customer,47,F,2,Graduate,Married,Less than $40K
819129858,Existing Customer,46,F,2,Graduate,Single,Less than $40K
713441958,Existing Customer,46,M,2,High School,Married,$120K +
719091333,Existing Customer,52,M,0,Uneducated,Married,$60K - $80K
708666258,Existing Customer,43,M,4,Unknown,Married,$40K - $60K
714914583,Existing Customer,40,F,4,Graduate,Single,Less than $40K
714363858,Existing Customer,54,F,4,High School,Married,Less than $40K
721347408,Existing Customer,55,F,1,High School,Single,Less than $40K
809608533,Existing Customer,49,F,4,Post-Graduate,Single,Unknown
772047183,Existing Customer,45,M,4,High School,Married,$40K - $60K
714217908,Existing Customer,49,M,3,Graduate,Married,$40K - $60K
714819183,Existing Customer,63,M,1,Uneducated,Married,$80K - $120K
716455683,Existing Customer,40,F,3,High School,Single,Less than $40K
710865633,Existing Customer,41,F,2,Graduate,Married,Less than $40K
752952108,Existing Customer,37,M,4,Graduate,Married,$80K - $120K
712595433,Existing Customer,58,M,2,Uneducated,Unknown,$120K +
714982383,Existing Customer,55,M,2,High School,Married,$60K - $80K
813814008,Existing Customer,53,F,1,High School,Married,Less than $40K
794545983,Existing Customer,57,M,2,Graduate,Married,$80K - $120K
708288108,Attrited Customer,43,M,4,Post-Graduate,Unknown,$80K - $120K
715585158,Existing Customer,58,M,1,Graduate,Married,$60K - $80K
810449883,Existing Customer,64,M,0,Unknown,Married,Less than $40K
789863208,Existing Customer,54,F,2,Graduate,Married,Less than $40K
715022133,Existing Customer,53,M,2,Graduate,Married,$60K - $80K
712506708,Existing Customer,39,F,3,College,Single,Less than $40K
715699983,Existing Customer,56,M,3,High School,Married,$60K - $80K
818942433,Existing Customer,54,F,4,Unknown,Divorced,Less than $40K
712459233,Existing Customer,59,F,1,Post-Graduate,Married,$40K - $60K
716545383,Existing Customer,42,M,3,Uneducated,Single,$40K - $60K
721144383,Existing Customer,42,M,4,Graduate,Married,$60K - $80K
821837958,Existing Customer,43,M,3,College,Unknown,$80K - $120K
804359133,Existing Customer,55,M,0,High School,Married,$120K +
713308683,Existing Customer,52,M,1,Uneducated,Single,$80K - $120K
788780958,Existing Customer,46,M,1,Uneducated,Unknown,$40K - $60K
717354558,Attrited Customer,57,M,2,Uneducated,Married,$120K +
798473808,Existing Customer,48,M,3,College,Married,$80K - $120K
712372158,Existing Customer,45,M,4,Unknown,Married,$120K +
715192308,Existing Customer,48,M,2,High School,Married,$120K +
708813033,Existing Customer,47,M,1,Graduate,Single,$40K - $60K
714639783,Attrited Customer,42,M,3,College,Married,$60K - $80K
709311633,Existing Customer,41,M,2,Graduate,Unknown,$60K - $80K
709470858,Existing Customer,51,M,4,College,Married,$120K +
717292758,Existing Customer,55,F,2,Graduate,Single,Less than $40K
779241783,Existing Customer,67,M,1,Uneducated,Married,$40K - $60K
715205358,Existing Customer,39,M,1,Graduate,Married,$60K - $80K
778871508,Existing Customer,54,M,3,Post-Graduate,Single,$60K - $80K
779462433,Existing Customer,55,F,2,Unknown,Married,Less than $40K
710147958,Existing Customer,47,M,3,High School,Married,$40K - $60K
709864833,Existing Customer,49,M,2,Post-Graduate,Married,$60K - $80K
778868958,Attrited Customer,42,F,2,Graduate,Married,Less than $40K
717276708,Existing Customer,57,M,2,Unknown,Single,$80K - $120K
710004933,Existing Customer,44,M,5,Uneducated,Married,$60K - $80K
753606108,Existing Customer,56,M,3,Unknown,Single,$60K - $80K
710940183,Attrited Customer,49,F,3,Graduate,Married,Less than $40K
718927533,Existing Customer,45,M,3,Graduate,Single,$80K - $120K
719337408,Existing Customer,63,M,0,High School,Married,$60K - $80K
772308408,Existing Customer,44,M,3,Graduate,Single,$80K - $120K
712981383,Existing Customer,44,F,4,College,Married,Less than $40K
790099758,Existing Customer,40,M,3,High School,Married,$40K - $60K
709547658,Attrited Customer,39,M,2,Uneducated,Single,$60K - $80K
778770783,Existing Customer,42,M,4,High School,Married,$80K - $120K
713134458,Existing Customer,54,M,3,High School,Married,$120K +
712159083,Attrited Customer,58,F,4,Unknown,Married,Less than $40K
